==========================================================================
 [GPU] Full master-key recovery of natural AES-256 implementation (K0 symmetric + K1 collision)
 device=NVIDIA GeForce RTX 5080 (16.6GB cc12.0)  dtype=float16  δ=0.05  BATCH=8192
 [FULL] exhaustive blind streaming of 2^32 per column  columns=[1]
==========================================================================
   [K0] RoundKey0 (round-0 key) symmetric-attack recovery OK  0xf3f49249dc28ff90a5aec7978306d03b  (0.0s)
    col1: 16,515,072/4,294,967,296  16,934 cand/s  ETA 70.18h  candidates=0
    col1: 16,687,104/4,294,967,296  16,934 cand/s  ETA 70.18h  candidates=0
    col1: 16,859,136/4,294,967,296  16,934 cand/s  ETA 70.18h  candidates=0
    col1: 17,031,168/4,294,967,296  16,934 cand/s  ETA 70.17h  candidates=0
    col1: 17,203,200/4,294,967,296  16,935 cand/s  ETA 70.17h  candidates=0
    col1: 17,375,232/4,294,967,296  16,935 cand/s  ETA 70.16h  candidates=0
    col1: 17,547,264/4,294,967,296  16,935 cand/s  ETA 70.16h  candidates=0
    col1: 17,719,296/4,294,967,296  16,935 cand/s  ETA 70.16h  candidates=0
    col1: 17,891,328/4,294,967,296  16,936 cand/s  ETA 70.15h  candidates=0
    col1: 18,063,360/4,294,967,296  16,936 cand/s  ETA 70.15h  candidates=0
    col1: 18,235,392/4,294,967,296  16,936 cand/s  ETA 70.15h  candidates=0
    col1: 18,407,424/4,294,967,296  16,936 cand/s  ETA 70.14h  candidates=0
    col1: 18,579,456/4,294,967,296  16,936 cand/s  ETA 70.14h  candidates=0
    col1: 18,751,488/4,294,967,296  16,937 cand/s  ETA 70.13h  candidates=0
    col1: 18,923,520/4,294,967,296  16,937 cand/s  ETA 70.13h  candidates=0
    col1: 19,095,552/4,294,967,296  16,937 cand/s  ETA 70.13h  candidates=0
    col1: 19,267,584/4,294,967,296  16,937 cand/s  ETA 70.12h  candidates=0
    col1: 19,439,616/4,294,967,296  16,937 cand/s  ETA 70.12h  candidates=0
    col1: 19,611,648/4,294,967,296  16,937 cand/s  ETA 70.12h  candidates=0
    col1: 19,783,680/4,294,967,296  16,937 cand/s  ETA 70.11h  candidates=0
    col1: 19,955,712/4,294,967,296  16,937 cand/s  ETA 70.11h  candidates=0
    col1: 20,127,744/4,294,967,296  16,938 cand/s  ETA 70.11h  candidates=0
    col1: 20,299,776/4,294,967,296  16,938 cand/s  ETA 70.10h  candidates=0
    col1: 20,471,808/4,294,967,296  16,938 cand/s  ETA 70.10h  candidates=0
    col1: 20,643,840/4,294,967,296  16,938 cand/s  ETA 70.10h  candidates=0
    col1: 20,815,872/4,294,967,296  16,938 cand/s  ETA 70.09h  candidates=0
    col1: 20,987,904/4,294,967,296  16,938 cand/s  ETA 70.09h  candidates=0
    col1: 21,159,936/4,294,967,296  16,938 cand/s  ETA 70.09h  candidates=0
    col1: 21,331,968/4,294,967,296  16,938 cand/s  ETA 70.09h  candidates=0
    col1: 21,504,000/4,294,967,296  16,938 cand/s  ETA 70.08h  candidates=0
    col1: 21,676,032/4,294,967,296  16,938 cand/s  ETA 70.08h  candidates=0
